old state road 1,old state road 2,old state road 3,old state road 3,TD 1,TD 2,TD 3,TD 4,TD intersection,dtcc 1,dtcc 2,dtcc 3,dtcc 4,target state 1,target state 2,target state 3,target state 4
0,0,0,0,0,0.6,0.4,0,0,1000,163,237,1000,0,0,0,0
0,0,0,0,0,0.6,0.4,0,0,1000,95,169,1000,0,0,0,0
0,0,0,0,0,0.6,0.4,0,0,1000,45,119,1000,0,1,0,0
0,1,0,0,0,0.2,0.4,0,0.4,1000,7,19,1000,0,1,0,0
0,0,0,0,0,0,0.666666667,0,0.333333333,1000,1000,9,1000,0,0,0,0
0,0,0,0,0,0,0.666666667,0.333333333,0,1000,1000,9,167,0,0,1,0
0,0,1,0,0,0,0,0.333333333,0.666666667,1000,1000,1000,57,0,0,0,0
0,0,0,0,0,0,0,1,0,1000,1000,1000,57,0,0,0,0
0,0,0,0,0,0,0,1,0,1000,1000,1000,57,0,0,0,1
0,0,0,1,0.333333333,0,0.333333333,0,0.333333333,254,1000,259,1000,0,0,0,0
0,0,0,0,0.25,0.25,0.25,0.25,0,24,189,29,143,1,0,0,0
1,0,0,0,0,0.2,0.2,0.4,0.2,1000,107,9,63,0,0,0,0
0,0,0,0,0,0.25,0.25,0.5,0,1000,9,9,63,0,0,0,1
0,0,0,1,0,0.25,0.25,0,0.5,1000,9,9,1000,0,0,0,0
0,0,0,0,0,0.5,0.5,0,0,1000,9,9,1000,0,0,1,0
0,0,1,0,0,0.5,0,0,0.5,1000,9,1000,1000,0,0,0,0
0,0,0,0,0,0.5,0,0.5,0,1000,9,1000,131,0,1,0,0
0,1,0,0,0,0.333333333,0,0.333333333,0.333333333,1000,203,1000,63,0,0,0,0
0,0,0,0,0,0.5,0,0.25,0.25,1000,167,1000,63,0,0,0,0
0,0,0,0,0,0.666666667,0,0.333333333,0,1000,9,1000,63,0,1,0,0
0,1,0,0,0,0,0,0.333333333,0.666666667,1000,1000,1000,63,0,0,0,0
0,0,0,0,0,0,0,0.333333333,0.666666667,1000,1000,1000,63,0,0,0,0
0,0,0,0,0,0.5,0,0.5,0,1000,103,1000,63,0,0,0,1
0,0,0,1,0,1,0,0,0,1000,15,1000,1000,0,0,0,0
0,0,0,0,0,1,0,0,0,1000,9,1000,1000,0,1,0,0
0,1,0,0,0,0.5,0,0,0.5,1000,147,1000,1000,0,1,0,0
0,1,0,0,0,0.5,0,0,0.5,1000,45,1000,1000,0,1,0,0
0,1,0,0,0,0,0,0.5,0.5,1000,1000,1000,198,0,0,0,0
0,0,0,0,0,0.25,0.25,0.25,0.25,1000,217,273,136,0,0,0,0
0,0,0,0,0,0.25,0.25,0.25,0.25,1000,145,201,64,0,0,0,0
0,0,0,0,0,0.25,0.5,0.25,0,1000,29,85,62,0,0,0,1
0,0,0,0,0,0.25,0.75,0,0,1000,9,9,1000,0,0,1,0
0,0,1,0,0,0.25,0.5,0,0.25,1000,9,7,1000,0,0,1,0
0,0,1,0,0,0.25,0.25,0,0.5,1000,9,3,1000,0,0,1,0
0,0,1,0,0,0.333333333,0,0,0.666666667,1000,9,1000,1000,0,0,0,0
0,0,0,0,0,0.666666667,0,0,0.333333333,1000,9,1000,1000,0,0,0,0
0,0,0,0,0,1,0,0,0,1000,9,1000,1000,0,1,0,0
0,1,0,0,0,0.666666667,0,0,0.333333333,1000,25,1000,1000,0,1,0,0
0,1,0,0,0,0.333333333,0,0,0.666666667,1000,141,1000,1000,0,1,0,0
0,1,0,0,0,0.5,0,0,0.5,1000,67,1000,1000,0,1,0,0
0,1,0,0,0,1,0,0,0,1000,3,1000,1000,0,1,0,0
0,1,0,0,0,0.5,0,0,0.5,1000,241,1000,1000,0,0,0,0
